Full Entry,Hansi,Pinyin,OC,PoS,Definitions,MC_BS,MC_Pretty,BS_Gloss,Order
"子 zǐ, *tsəʔ, nc, 1 ‘child’: 干越夷貉之 子，生而同聲 (Xun 1); esp. ‘son’: 子女不 雜處 (XS 8.1); ant. 女 [38.0]; more generally, ‘youngers’, i.e. male relatives of younger generations: 自王以下，各有父 兄子弟 (Zuo 9.14); 2 vst, ‘be childlike’, a itr: 君君，臣臣，父父，子子 (LY 12.11); b caus, ‘treat like a child’: 故人不獨親其 親，不獨子其子 (Li 9); 不拊愛子其民 (ZGC 11.1). Ant. 父 [88.0]; cf. 兒 [10.6], 嬰 兒 [38.14], 童 [117.7].",子,zǐ,*tsəʔ,nc,"1 ‘child’: 干越夷貉之 子，生而同聲 (Xun 1); esp. ‘son’: 子女不 雜處 (XS 8.1); ant. 女 [38.0]; more generally, ‘youngers’, i.e. male relatives of younger generations: 自王以下，各有父 兄子弟 (Zuo 9.14); 2 vst, ‘be childlike’, a itr: 君君，臣臣，父父，子子 (LY 12.11); b caus, ‘treat like a child’: 故人不獨親其 親，不獨子其子(Li 9); 不拊愛子其民 (ZGC 11.1). Ant. 父 [88.0]; cf. 兒[10.6], 嬰 兒 [38.14], 童 [117.7].",tsiX,tsı́,1st earthly branch,2477
"子 zǐ, *tsəʔ, nc, ‘viscount’, second-lowest of the five aristocratic ranks of the Zhou: 王者之制祿爵，公侯伯子男，凡五等 (Li 5); 箕子為之奴 (LY 18.1); cf. Box 15; perhaps through reduction in status, ‘master’: 孔子為魯司寇 (SY 14); ‘sir, you’, respectful form of address: 子非魚 (Zhuang 17); 二三子，何患於喪乎 (LY 3.24); anteposed as O in negated clauses: 不子欺 (Lü 15.7); 功不子逮 (Yan 2.24); honorific element in courtesy names: 子路 使門人為臣 (LY 9.12); cf. Focus 5.",子,zǐ,*tsəʔ,nc,"‘viscount’, second-lowest of the five aristocratic ranks of the Zhou: 王者之制祿爵，公侯伯子男，凡五等 (Li 5); 箕子為之奴 (LY 18.1); cf. Box 15; perhaps through reduction in status, ‘master’: 孔子為魯司寇 (SY 14); ‘sir, you’, respectful form of address: 子非魚 (Zhuang 17); 二三子，何患於喪乎 (LY 3.24); anteposed as O in negated clauses: 不子欺 (Lü 15.7); 功不子逮 (Yan 2.24); honorific element in courtesy names: 子路 使門人為臣(LY 9.12); cf. Focus 5.",tsiX,tsı́,1st earthly branch,2477
"子 zǐ, *tsəʔ, ntemp, first of the ‘Earthly branches’: 甲子日，紂兵敗 (SJ 3). Cf. Focus 8.",子,zǐ,*tsəʔ,ntemp,first of the ‘Earthly branches’: 甲子日，紂兵敗 (SJ 3). Cf. Focus 8.,tsiX,tsı́,1st earthly branch,2477
"周 zhōu, *tiu, vn, 1 ‘be all-embracing, comprehensive; encompass, embrace; encircle, surround’, a itr: 君子周而不 比，小人比而不周 (LY 2.14); 其藏之也 周，其用之也遍 (Zuo 10.4); b tr: 齊師 敗績，逐之，三周華不注 (Zuo 8.2); 周 其君子，不失成功，周其小人，不失 成命 (Guan 20); 2 adv, ‘in circles; all around, everywhere; all’: 周麾而呼 曰，君登矣 (Zuo 1.11); 晉文公出亡，周 流天下 (SY 6); cf. Box 30.",周,zhōu,*tiu,vn,"1 ‘be all-embracing, comprehensive; encompass, embrace; encircle, surround’, a itr: 君子周而不 比，小人比而不周 (LY 2.14); 其藏之也 周，其用之也遍 (Zuo 10.4); b tr: 齊師 敗績，逐之，三周華不注 (Zuo 8.2); 周其君子，不失成功，周其小人，不失 成命 (Guan 20); 2 adv, ‘in circles; all around, everywhere; all’: 周麾而呼曰，君登矣 (Zuo 1.11); 晉文公出亡，周 流天下 (SY 6); cf. Box 30.",tsyuw,ts̯ūw,Zhōu (dynasty and place),2484
"周 Zhōu, *tiu, np, a a dynasty: 天降禍 于周 (Zuo 10.32); b given name: 昔者莊 周夢為胡蝶 (Zhuang 2); 2 vi, ‘be (like) Zhou’, itr: 俄然覺，則蘧蘧然周也 (Zhuang 2). Note: The Zhou dynasty was founded in the mid-eleventh century bc, when king Wu vanquished the Shang. Residing in the capital of Hao (near modern Xi’an), the Zhou rulers enfeoffed vassals and relatives to rule over the territories of the North China plain. Although Zhou’s power greatly diminished when the capital was invaded in 771 bc and the Zhou kings fled eastward to present-day Luoyang, they remained rulers of ‘All under Heaven’ at least in name, and their founding fathers—king Wen, king Wu, and the duke of Zhou—became paragons of orderly ruler. In Zhanguo times, Zhou split up into two polities, which were finally conquered by Qin in 256 bc.",周,Zhōu,*tiu,np,"a a dynasty: 天降禍 于周 (Zuo 10.32); b given name: 昔者莊 周夢為胡蝶 (Zhuang 2); 2 vi, ‘be (like) Zhou’, itr: 俄然覺，則蘧蘧然周也 (Zhuang 2). Note: The Zhou dynasty was founded in the mid-eleventh century bc, when king Wu vanquished the Shang. Residing in the capital of Hao (near modern Xi’an), the Zhou rulers enfeoffed vassals and relatives to rule over the territories of the North China plain. Although Zhou’s power greatly diminished when the capital was invaded in 771 bc and the Zhou kings fled eastward to present-day Luoyang, they remained rulers of ‘All under Heaven’ at least in name, and their founding fathers—king Wen, king Wu, and the duke of Zhou—became paragons of orderly ruler. In Zhanguo times, Zhou split up into two polities, which were finally conquered by Qin in 256 bc.",tsyuw,ts̯ūw,Zhōu (dynasty and place),2484
"為/爲 wéi,*wai,vn,1‘do’,atr:夫上之 所為，民之歸也 (Zuo 10.21); ‘make, create, contrive, produce’: 嬰兒 . . . 以塵為 飯，以塗為羹，以木為胾 (HFei 32); 初 楚子將以商臣為大子 (Zuo 6.1); ‘attend to’: 孔子為政必霸 (SJ 47); ‘regard as, consider’: 吾以夫子為天地 (Zhuang 5); 百 姓皆以我為愛 (Meng 1A7); b tr2: 顏淵 死，顏路請子之車以為之椁 (LY 11.8); 為之簞食與肉 (Zuo 7.2); cf. 5.2.2; c aux: 唯天為大(LY 8.19); 苟為後義而先利 (Meng 1A1); 2 cop, a with C: ‘act as, be’: 孔 子為魯司寇 (Meng 6B6); 子路使門人為 臣(LY 9.12); b with Oi and C: 原思為之 宰 (LY 6.5); 身為宋國笑 (HFei 49). Cf. Box 14 and 11.2.",為/爲,wéi,*wai,vn,"1‘do’,atr:夫上之 所為，民之歸也 (Zuo 10.21); ‘make, create, contrive, produce’: 嬰兒 . . . 以塵為 飯，以塗為羹，以木為胾 (HFei 32); 初 楚子將以商臣為大子 (Zuo 6.1); ‘attend to’: 孔子為政必霸 (SJ 47); ‘regard as, consider’: 吾以夫子為天地 (Zhuang 5); 百 姓皆以我為愛(Meng 1A7); b tr2: 顏淵 死，顏路請子之車以為之椁 (LY 11.8); 為之簞食與肉 (Zuo 7.2); cf. 5.2.2; c aux: 唯天為大 (LY 8.19); 苟為後義而先利 (Meng 1A1); 2 cop, a with C: ‘act as, be’: 孔 子為魯司寇 (Meng 6B6); 子路使門人為 臣 (LY 9.12); b with Oi and C: 原思為之 宰 (LY 6.5); 身為宋國笑 (HFei 49). Cf. Box 14 and 11.2.",hjwe,hȷwē,"make, do, act as",2961
"為/爲 wèi, *waih, prep [< preceding], 1 ‘for’: 吾將為女問之 (Xun 29); ‘because of, due to’: 獻公為之不寐 (CQFL 14); cf. 9.3; 2 vn, ‘act on behalf of/for the sake of; aim for’, tr: 我楚國之為 (Zuo 9.28); 天不 為秦國 (Lü 16.4).",為/爲,wèi,*waih,prep [< preceding],"1 ‘for’: 吾將為女問之 (Xun 29); ‘because of, due to’: 獻公為之不寐 (CQFL 14); cf. 9.3; 2 vn, ‘act on behalf of/for the sake of; aim for’, tr: 我楚國之為 (Zuo 9.28); 天不 為秦國 (Lü 16.4).",hjweH,hȷwè,"for, because",2961
"其 qí, *gə, prper, 1 ‘his, her, its, their’, a mod: 勿奪其時(Meng 1A3); 今我非 其主也 (Lü 10.5); ‘proper, appropriate, right’: 天下不一，諸侯俗反，則天王 非其人也 (Xun 10); 義，非其門而由 之，非義也 (Xun 27); b in nominalized clauses: 夫子何以知其將見殺 (Meng 7B29); 2 pt, used to subordinate prdem: 彼其道遠而險 (Zhuang 20); 上下之利 若是其異也 (HFei 49). Cf. Box 5 and Box 18.",其,qí,*gə,prper,"1 ‘his, her, its, their’, a mod: 勿奪其時 (Meng 1A3); 今我非 其主也 (Lü 10.5); ‘proper, appropriate, right’: 天下不一，諸侯俗反，則天王 非其人也 (Xun 10); 義，非其門而由 之，非義也 (Xun 27); b in nominalized clauses: 夫子何以知其將見殺 (Meng 7B29); 2 pt, used to subordinate prdem: 彼其道遠而險 (Zhuang 20); 上下之利 若是其異也 (HFei 49). Cf. Box 5 and Box 18.",gi,gı̄,modal particle,3035
"其 qí, *gə, adv, ‘possibly, probably, surely’, a in verbal clauses: 虢公其奔 (Zuo 5.5); typically with final 乎: 吳其亡 乎 (SY 9); 堯舜其猶病諸 (LY 6.30); with final 與: 其晏子之謂歟 (Yan 2.21); with final 也: 吾其靜也 (GY 7.4); with final 矣: 微管仲，吾其被髮左衽矣 (LY 14.16); hortatory, ‘should, had better’: 子 其圖之 (Zuo 8.16); in rhetorical questions: 其誰不知 (Zuo 5.32); 其何以行之 哉 (LY 2.22); cf. 豈 [151.3], 庸 [53.8]; b in nominal clauses: 無為而治者，其舜也 與(LY 15.5); 其田成氏乎 (HFei 34). Cf. 7.2 and Box 18.",其,qí,*gə,adv,"‘possibly, probably, surely’, a in verbal clauses: 虢公其奔 (Zuo 5.5); typically with final 乎: 吳其亡 乎 (SY 9); 堯舜其猶病諸 (LY 6.30); with final 與: 其晏子之謂歟 (Yan 2.21); with final 也: 吾其靜也 (GY 7.4); with final 矣: 微管仲，吾其被髮左衽矣 (LY 14.16); hortatory, ‘should, had better’: 子 其圖之 (Zuo 8.16); in rhetorical questions: 其誰不知 (Zuo 5.32); 其何以行之 哉 (LY 2.22); cf. 豈 [151.3], 庸 [53.8]; b in nominal clauses: 無為而治者，其舜也 與(LY 15.5); 其田成氏乎 (HFei 34). Cf. 7.2 and Box 18.",gi,gı̄,modal particle,3035
"有 yǒu, *wəʔ, vn, 1 ‘have, own, possess’, a tr: 父子有親，君臣有義，夫婦有別，長 幼有序，朋友有信 (Meng 3A4); ‘be there, occur’ 有齊無秦，有秦無齊 (SJ 69); typically with locative S: 田中有株 (HFei 49); b tr with C: 爾有母遺 (Zuo 1.1); 2 nc, ‘possession’: 汝身非汝有也(Zhuang 22). Ant. 無 [86.8]; cf. Box 25 and 有司 [30.2].",有,yǒu,*wəʔ,vn,"1 ‘have, own, possess’, a tr: 父子有親，君臣有義，夫婦有別，長 幼有序，朋友有信 (Meng 3A4); ‘be there, occur’ 有齊無秦，有秦無齊 (SJ 69); typically with locative S: 田中有株 (HFei 49); b tr with C: 爾有母遺(Zuo 1.1); 2 nc, ‘possession’: 汝身非汝有也 (Zhuang 22). Ant. 無 [86.8]; cf. Box 25 and 有司 [30.2].",hjuwX,hȷúw,"have, exist",3178
