,	,	,
.	.	.
/	/	/
\n	\n	\n
X	X	-
Y	Y	-
…	…	…
⋯	...	...
　	 	 
、	;	;
。	.	.
《	<	<
》	>	>
「	"	"
」	"	"
『	"	"
』	"	"
〈	<	<
〉	>	>
【	[	[
】	]	]
！	!	!
（	(	(
）	)	)
)	)	)
(	(	(
[	[	[
]	]	]
，	,	,
：	:	:
；	;	;
？	?	?
了	lewX	complete, finished
仞	nyinH	measure of length, to get to the bottom of
低	tej	t.v., to lower
佚	yit	secluded,excluded,mistake, ~逸 unconventional, 佚豫 yit-yoH, lax and careless, nonchalant; also, speeding swiftly. ~迭 in turn, successively.
併	pjeng	(屏) to screen off; block, remove
併	pjiengH	conjoin;combine, together;both
侃	khanX	iytsoijebm cabdud
侗	duwng	child,immature
俄	nga	suddenly; soon; presently
俎	tsrjoX	meat-tray,chopping-block
倦	gjwenH	weary,fatigued
倩	tshenH	attractive,charming
倩	tshjengH	ask for something to be done in one's place as a favor,son-in-law
偲	tshoj	able,talented
僎	dzrjenX	to prepare
僎	tswin	~遵, to follow
僧	song	buddhist monk
僮	duwng	boy, serving-lad
儒	nyju	scholar; learned person, idiot
儵	syuwk	black, white flash in darkness
内	nop	(納) enter, pass into
内	nwojH	inside, within area, esoteric
冉	nyjem	steadily approaching, surname
冶	yaeX	to smelt; smelter; bewitching
冷	laengX	cold, secluded, indifferent
刎	mjunX	cut one's throat, esp. suicide
剪	tsjenX	翦 to cut off, shear, deplete
匵	duwk	~櫝 casket/coffin
卽	tsik	to approach; go near to eat, thereupon
参	srim	the constellation Orion (named for the three stars in Orion's belt)
叛	bwan	rebel; betray
只	tsyeX	phrase-middle/-final particle; only, merely; still
吻	mjunX	mouth, kiss
啟	khejX	open,unfold,unfasten,start,expound,letter
喭	ngjenH	surly,rude;coarse,unmannered.
嗚	'u	onomatic element in various compounds
噫	'ik	chest;breast,what is in one's heart
圃	puX	vegetable garden,threshing floor
坫	temH	stand or sideboard where cups were placed upside-down after use.
奡	ngawH	~傲 high-borne, high-held; haughty, proud. (bn.) 燾奡 (dawH-ngawH) tower upwards.
奩	ljem	vanity-case
姚	yew	graceful
娟	'jwien	娟娟 lovely and lissom, fair and winsom
娥	nga	name of legendary lady 嫦娥- stole elixir of immortality
嫦	dzyang	name of legendary lady 嫦娥- stole elixir of immortality
嬴	yeng	fullness, surplus, vanquish
嬴	yeng	fullness;plentitude, vanquish;excel, be in charge of
寮	lew	small window, official colleague
屁	phijH	fart
岐	gje	high; majestic; fork in road
崑	kwon	崑崙 Kunlun Mountains
崙	lwon	崑崙 Kunlun Mountains
巨	gjoX	huge, a surname, one million
巽	swonH	weak;yielding;gentle
床	dzrjang	n. bed
廋	srjuw	hide,conceal,corner,hollow, search/seak out
廿	nyip	twenty
強	gȷang	to be strong (same as 彊)
彬	pin	half-and-half,in equal parts
徊	hwoj	徘徊 to go round and about
徘	bwoj	徘徊 to go round and about
忮	tsyeH	object to, be hostile to, intractable
怍	dzak	ashamed,abashed,discomforted
怵	trhwit	to fear / to be afraid; sad/sorrowful
恂	swin	unfeigning,simple,unimpeded,fearful of,rdp. with respect and care
悱	phj+jX	frustrated by being at a loss for words
