子	zǐ	tsiX	tsı́	 1st earthly branch	2477
子	zǐ	tsiX	tsı́	 1st earthly branch	2477
子	zǐ	tsiX	tsı́	 1st earthly branch	2477
周	zhōu	tsyuw	ts̯ūw	 Zhōu (dynasty and place)	2484
周	Zhōu	tsyuw	ts̯ūw	 Zhōu (dynasty and place)	2484
為/爲	wéi	hjwe hjwe	hȷwē hȷwē	 make, do, act as / make, do, act as	2961
為/爲	wèi	hjweH	hȷwè	 for, because	2961
其	qí	gi	gı̄	 modal particle	3035
其	qí	gi	gı̄	 modal particle	3035
有	yǒu	hjuwX	hȷúw	 have, exist	3178
有	yǒu	hjuwX	hȷúw	 have, exist	3178
有	yǒu	hjuwX	hȷúw	 have, exist	3178
楚	Chǔ	tsrhjoX	tṣhȷó	 arrange in order	4850
辭	cí	zi	zı̄	 words	4851
辭	cí	zi	zı̄	 words	4851
直	zhí	drik	ḍık	 straight	4852
陳	Chén	drin	ḍı̄n	 arrange	4875
陳	chén	drin	ḍı̄n	 arrange	4875
春	chūn	tsyhwin	ts̯hwı̄n	 springtime	4922
春秋	chūnqiū	tsyhwin tshjuw	ts̯hwı̄n tshȷūw	 springtime / autumn; crop	4923
秋	qiū	tshjuw	tshȷūw	 autumn; crop	4923
繁	fán	bjon	bȷōn	 abundant, numerous	4924
露	lù	luH	lù	 dew; disclose	4925
義	yì	ngjeH	ngȷè	 duty; justice	4926
輿	yú	yo	yō	 vehicle, carriage; carry on shoulders	4944
爾	ěr	nyeX nejX	n̯é néȷ	 (adv. suffix) / numerous	4993
行	xíng	haeng haeng	hāeng hāeng	 walk (v.) / walk (v.)	5019
行	xíng	haeng haeng	hāeng hāeng	 walk (v.) / walk (v.)	5019
行	xìng	hang	hāng		5019
法	fǎ	pjop	pȷop	 model, law	5076
言	yán	ngjon	ngȷōn	 (a particle)	5077
榮	róng	hjwaeng	hȷwāeng	 glory, honor	5103
寶	baǒ	pawX	páw		5104
梁	liáng	ljang	lȷāng	 beam; bridge	5171
經	jīng	keng	kēng	 loom; regulate; norm	5172
傳	chuán	drjwen	ḍȷwēn	 transmit	5173
補	bǔ	puX	pú	 to patch	5174
鍾	zhōng	tsyowng	ts̯ōwng	 accumulate; repeat	5200
文	wén	mjun	mȷūn	 ornate	5201
文	wèn	mjun	mȷūn		5201
公	gōng	kuwng	kūwng	 impartial, just; public	5288
公	gōng	kuwng	kūwng	 impartial, just; public	5288
公子	gōngzǐ	kuwng tsiX	kūwng tsı́	 impartial, just; public / 1st earthly branch	5288
孫	sūn	swon	swōn	 grandchild; descendant	5289
龍	lóng	ljowng ljowng	lȷōwng lȷōwng	 dragon / dragon	5290
懸/縣	xuán	hwen	hwēn	 suspend	5292
王	wáng	hjwang	hȷwāng	 king	5313
王	wàng	hjwangH	hȷwàng	 be king	5313
校	xiào	haewH	hàew		5353
釋	shì	syek	s̯ek	 release; dissolve	5354
顏	Yán	ngaen	ngāen	 face, forehead	5377
國	guó	kwok	kwok	 state (n.)	5428
語	yǔ	ngjoX ngjoX	ngȷó ngȷó	 speak / speak	5429
語	yù	ngjoH	ngȷò	 tell	5429
徐	xú	zjo	zȷō	 walk slowly	5452
元	yuán	ngjwon	ngȷwōn	 head; first	5453
羊	yáng	yang	yāng	 sheep	5540
黃	huáng	hwang	hwāng	 yellow	5679
帝	dì	tejH	tèȷ	 God	5680
黃帝	Huángdì	hwang tejH	hwāng tèȷ	 yellow / God	5680
內	nèi	nwojH nwojH	nwòȷ nwòȷ	 inside / inside	5681
素	sù	suH	sù	 white silk	5683
問	wèn	mjunH	mȷùn	 ask	5684
靈	líng	leng	lēng	 supernatural	5687
非	fēi	pj+j	pȷų̄ȷ	 is not	5745
非	fēi	pj+j	pȷų̄ȷ	 is not	5745
先	xiān	sen	sēn	 first	5773
先	xiàn	senH	sèn	 go first	5773
慎	shèn	dzyinH	dz̯ı̀n	 careful	5774
南	nán	nom	nōm	 south	5830
何	hé	ha	hā	 what	5851
寧	níng	neng	nēng	 peace	5852
詩	shī	syi	s̯ı̄	 poetry	5907
外	wài	ngwajH	ngwàȷ	 outside	5908
屈	jué	kjut	kȷut		5933
守	shǒu	syuwX	s̯úw	 keep, guard	5934
老	lǎo	lawX	láw	 old	5970
老子	Lǎozi	lawX tsiX	láw tsı́	 old /	5970
朱	zhū	tsyu	ts̯ū	 dwarf	5995
謙	qiān	khem	khēm	 modest	5996
之	zhī	tsyi	ts̯ı̄	 go to	5997
之	zhī	tsyi	ts̯ı̄	 go to	5997
之	zhī	tsyi	ts̯ı̄	 go to	5997
禮	lı̌	lejX	léȷ		6047
記	jì	kiH	kı̀	 remember; record (v.)	6048
正	zhèng	tsyengH	ts̯èng	 correct (adj., v.)	6049
孔	Kǒng	khuwngX	khúwng	 (surname)	6072
達	dá	dat	dat	 arrive at	6074
列	liè	ljet	lȷet	 tear apart; rank	6133
伯	bó	paek	paek	 father’s elder brother	6158
伯/佰	bó	paek	paek	 father’s elder brother	6158
新	xīn	sin	sı̄n	 new	6198
女	nǚ	nrjoX	ṇȷó	 female	6201
泉	quán	dzjwen	dzȷwēn	 spring, source	6228
黃泉	huángquán	hwang dzjwen	hwāng dzȷwēn	 yellow / spring, source	6228
六	liù	ljuwk	lȷuwk	 six	6324
氏	shì	dzyeX	dz̯é	 clan	6388
論	lún	lwin	lwı̄n	 (in name of Lúnyǔ 論語)	6483
孟	mèng	maengH	màeng	 eldest, great	6580
循	xún	zwin	zwı̄n	 follow	6603
墨	mò	mok	mok	 ink	6669
讓	ràng	nyangH	n̯àng	 yield	6695
許	xǔ	xjoX	xȷó	 place (n.)	6786
富	fù	pjuwH	pȷùw	 rich; wealth	6787
尸	shī	syij	s̯ı̄ȷ	 corpse	6845
讀	dú	duwk	duwk	 read (v.)	6847
本	běn	pwonX	pwón	 tree trunk	6848
水	shuǐ	sywijX	s̯wı́ȷ	 water; river	6871
松	sōng	zjowng	zȷōwng	 pine (n.)	6873
山	shān	srean	ṣēan	 mountain, hill	6914
海	hǎi	xojX	xóȷ	 sea	6915
史	shǐ	sriX	ṣı́	 scribe	6965
司	sī	si	sı̄	 superintend	6986
有司	yǒusī	hjuwX si	hȷúw sı̄	 have, exist / superintend	6986
司馬	sīmǎ	si maeX	sı̄ máe	 superintend / horse	6987
馬	mǎ	maeX	máe	 horse	6987
遷	qiān	tshjen	tshȷēn	 move (v.)	6988
商	shāng	syang	s̯āng	 musical note	7030
君	jūn	kjun	kȷūn	 lord; ruler	7031
君子	jūnzǐ	kjun tsiX	kȷūn tsı́	 lord; ruler / 1st earthly branch	7031
書	shū	syo	s̯ō	 write	7032
十	shí	dzyip	dz̯ıp	 ten	7130
一/壹	yī	'jit	'ȷıt	 one	7131
國家	guójiā	kwok kae	kwok kāe	 state (n.) / household	7132
家	jiā	kae	kāe	 household	7132
理	lǐ	liX	lı́	 cut jade; regulate	7137
丙	bǐng	pjaengX	pȷáeng	 3d heavenly stem	7161
安	ān	'an	'ān	 peace(ful)	7162
安	ān	'an	'ān	 peace(ful)	7162
說	shuō	sywejH	s̯wèȷ		7201
說	shuì	sywejH	s̯wèȷ		7201
宗	zōng	tsowng	tsōwng	 ancestral temple	7228
魯	Lǔ	luX	lú	 dull, blunt, simple	7229
利	lì	lijH	lı̀ȷ	 sharp; profit	7286
利	lì	lijH	lı̀ȷ	 sharp; profit	7286
器	qì	khijH	khı̀ȷ	 vessel; instrument	7287
尉	wèi	'jw+jH	'ȷwų̀ȷ		7321
勇	yǒng	yowngX	yówng	 brave	7342
吳	Wú	ngu	ngū	 shout; name of a state	7369
孝	xiào	xaewH	xàew	 filial	7434
賈	gǔ	kuX	kú	 merchant; do business	7620
振/賑	zhèn	tsyinH tsyinH	ts̯ı̀n ts̯ı̀n	 shake / shake	7643
益	yì	'jiek	'ȷıek	 increase	7644
鐘	zhōng	tsyowng	ts̯ōwng	 bell	7660
夏	xià	haeX	háe	 great	7661
夏	Xià	haeX	háe	 great	7661
序	xù	zjoX	zȷó	 walls at side of palace	7721
石	shí	dzyek	dz̯ek	 stone	7747
則	zé	tsok	tsok	 then	7939
虞	yú	ngju	ngȷū	 foresee	7940
虞	Yú	ngju	ngȷū	 foresee	7940
燕	Yān	'en	'ēn		8013
東	dōng	tuwng	tūwng	 east	8039
易	yì	yek yeH	yek yè	 change; exchange / easy	8074
易	yì	yek yeH	yek yè	 change; exchange / easy	8074
戰	zhàn	tsyenH	ts̯èn	 to fear	8248
郭	guō	kwak	kwak	 outer wall	8462
慶	qìng	khjaengH	khȷàeng	 happy, rejoice	8463
左	zuǒ	tsaX	tsá	 left (side)	8532
百家	bǎijiā	paek kae	paek kāe	 hundred / household	9654
百	bǎi	paek	paek	 hundred	9654
尊	zūn	tswon	tswōn	 honor (v.)	11146
敬	jìng	kjaengH	kȷàeng	 respectful	11147
好	hǎo	xawX	xáw	 good	11176
好	hào	xawH xawH	xàw xàw	 love, like (v.) / love, like (v.)	11176
中	zhōng	trjuwng trjuwng	ṭȷūwng ṭȷūwng	 center / center	11181
中	zhòng	trjuwngH	ṭȷùwng	 hit the center	11181
中國	Zhōngguó	trjuwng trjuwng kwok	ṭȷūwng ṭȷūwng kwok	 center / center / state (n.)	11181
收	shōu	syuw	s̯ūw	 collect; harvest	11183
拙	zhuō	tsywet	ts̯wet	 stupid, inept	11185
激	jī	kek	kek	 dam up (water)	11189
情	qíng	dzjeng	dzȷēng	 affections; response to circumstances	11191
寸	cùn	tshwonH	tshwòn	 thumb; inch	11193
難	nán	nan	nān	 difficult	11195
難	nàn	nanH	nàn	 difficulty	11195
余/予	yú	yo	yō	 1sg., prob. a polite form	11199
姓	xìng	sjengH	sȷèng	 surname	11200
一百姓	bǎixìng	'jit paek sjengH	'ȷıt paek sȷèng	  / hundred / surname	11200
張	zhāng	trjang	ṭȷāng	 draw a bow	11201
名	míng	mjieng	mȷı̄eng	 name	11202
字	zì	dziH	dzı̀	 breed, love (v.); character	11206
銘	míng	meng	mēng	 inscription	11207
乃	nǎi	nojX	nóȷ	 your	11210
天	tiān	then then	thēn thēn	 heaven / heaven	11211
天子	tiānzǐ	then then tsiX	thēn thēn tsı́	 heaven / heaven / 1st earthly branch	11211
市	shì	dzyiX	dz̯ı́	 market (n.)	11213
人	rén	nyin	n̯ı̄n	 (other) person	11216
也	yě	yaeX	yáe	 (final particle)	11217
祖	zǔ	tsuX	tsú	 ancestor	11219
居	jū	kjo kjo	kȷō kȷō	 squat; stay, dwell / squat; stay, dwell	11220
居	jū	kjo kjo	kȷō kȷō	 squat; stay, dwell / squat; stay, dwell	11220
平	píng	bjaeng bjaeng	bȷāeng bȷāeng	 even (adj.) / even (adj.)	11223
陰	yīn	'im	'ı̄m	 dark	11224
高	gāo	kaw	kāw	 high, tall	11226
高	gāo	kaw	kāw	 high, tall	11226
民	mín	mjin	mȷı̄n	 people	11229
間/閒	jiān	kean kean	kēan kēan	 interval / interval	11231
無/无	wú	mju	mȷū	 not have	11237
無	wú	mju	mȷū	 not have	11237
無	wú	mju	mȷū	 not have	11237
數	shù	srjuH	ṣȷù	 number (n.)	11238
數	shuò	sraewk	ṣaewk	 frequently	11238
數	shù	srjuH	ṣȷù	 number (n.)	11238
至/致	zhì	tsyijH	ts̯ı̀ȷ	 arrive	11240
已	yǐ	yiX	yı́	 cease; already	11242
五	wǔ	nguX	ngú	 five	11244
五行	wǔxíng	nguX haeng haeng	ngú hāeng hāeng	 five / walk (v.) / walk (v.)	11244
代	dài	dojH	dòȷ	 replace	11245
幼	yòu	'jiwH	'ȷı̀w	 young	11247
舊	jiù	gjuwH	gȷùw	 old	11249
