別	pjet
參	srim
曾	tsong
重	drjowngX
處	tsyhoX
吹	tsyhwe
出	tsyhwit
大	daH
彈	dan
道	dawX
斷	twanX
度	duH
惡	'uH
分	pjun
風	pjuwng
夫	pju
父	bjuX
復	bjuwH
更	kaengH
貫	kwanH
行	haeng
好	xawH
荷	haX
後	huwX
華	hwae
幾	kj+jX
將	tsjang
覺	kaewk
教	kaew
盡	dzinX
近	gj+nH
居	kjo
足	tsjowk
豈	khj+jX
看	khanH
空	khuwng
會	hwajH
勞	law
離	lje
龍	ljowng
能	nong
傍	bangH
平	bjaeng
妻	tshejH
潛	dzjem
强	gjang
請	tshjengX
去	khjoH
卷	kjwenX
三	sam
散	sanH
少	syewX
深	syim
生	sraeng
勝	syingH
乘	zying
識	tsyiH
適	syek
樹	dzyuH
食	zyik
所	srjoX
望	mjangH
為	hjwe
於	'jo
下	haeX
天	then
間	kean
鄉	xjang
相	sjang
宿	sjuwk
還	hwaen
樂	lak
衣	'j+j
隱	'j+nX
予	yo
雨	hjuX
語	ngjoX
與	yoX
藏	dzang
長	drjang
丁	teng
重	drjowngX
中	trjuwng
從	dzjowng
坐	dzwaX
治	driH
杼	drjoX
靖	dzjengX
茲	tsi
反	pjonX
折	tsyet
應	'ing
且	tshjaeX
頸	kjiengX
令	ljengH
